tenor;atm_vol;rr25;bf25;rr10;bf10
1D;5,025;-0,415;0,18;-0,79;0,605
1W;6,735;-0,555;0,23;-1,05;0,82
2W;6,31;-0,465;0,235;-0,895;0,84
3W;6,1175;-0,4025;0,25;-0,7925;0,8875
1M;5,855;-0,3525;0,2575;-0,705;0,915
2M;6;-0,26;0,27;-0,5;0,99
3M;6,035;-0,195;0,285;-0,355;1,06
4M;6,0825;-0,1;0,3025;-0,18;1,1175
5M;6,137;-0,0405;0,3125;-0,064;1,1575
6M;6,15;0,0025;0,3175;0,02;1,18
9M;6,355;0,1325;0,3325;0,27;1,265
1Y;6,585;0,2225;0,3625;0,445;1,37
18M;6,8525;0,2075;0,375;0,4325;1,4
2Y;6,98;0,2075;0,3825;0,44;1,415
3Y;7,2375;0,185;0,385;0,4;1,4275
4Y;7,4925;0,13;0,39;0,2175;1,44
5Y;7,7025;0,105;0,395;0,24;1,435
6Y;7,765;0,1365;0,364;0,2855;1,3075
7Y;7,8125;0,16;0,3425;0,32;1,22
10Y;8,0125;0,315;0,3225;0,585;1,1425
15Y;8,1375;0,425;0,2725;0,575;1,1075
20Y;8,144;0,381;0,3285;0,656;1,105
25Y;8,15;0,4245;0,33;0,7265;1,102
30Y;8,156;0,464;0,331;0,7895;1,0985
